Tool,Description,href,toolset,desc,toolb
Near 3D,Calculates the three-dimensional distance from each input feature to the nearest feature that resides in one or more near feature classes.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-proximity-toolset.htm#GUID-B961E6FE-2E3D-4DC7-9594-A9EBF5315A4E,3D Proximity,"Contains tools for performing distance-based evaluations of 3D points, LAS point clouds, lines, and multipatch features.",3D Analyst toolbox
Union 3D,"Merges closed, overlapping multipatch features from an input feature class.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-3d-proximity-toolset.htm#GUID-B961E6FE-2E3D-4DC7-9594-A9EBF5315A4E,3D Proximity,"Contains tools for performing distance-based evaluations of 3D points, LAS point clouds, lines, and multipatch features.",3D Analyst toolbox
Cut Fill,Calculates the volume change between two surfaces. This is typically used for cut and fill operations.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Difference 3D,Eliminates portions  of multipatch features in a target feature class that overlap with enclosed volumes of multipatch features in the subtraction feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Extrude Between,Creates 3D features by extruding each input feature between two triangulated irregular network (TIN) datasets.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Minimum Bounding Volume,Creates multipatch features that represent the volume of space occupied by a set of 3D features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Polygon Volume,Calculates the volume and surface area between a polygon of a constant height and a surface.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Surface Difference,"Calculate the displacement between two surfaces to determine where one is above, below or the same as the other surface.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Surface Volume,Calculates the area and volume of the region between a surface and a reference plane.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-area-and-volume-toolset.htm#GUID-430B25B3-60A4-4308-B726-4FBBBCD390A6,Area and Volume,Contains tools that provide solutions for analyzing change between surfaces and generating volumetric representations of 3D data.,3D Analyst toolbox
Colorize LAS,Applies colors and near-infrared values from orthographic imagery  to LAS points.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Extract LAS,"Filters, clips, and reprojects the collection of lidar data referenced by a LAS dataset.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Thin LAS,Creates new LAS files that contain a subset of LAS points from the input LAS dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Tile LAS,Creates a set of nonoverlapping LAS files whose horizontal extents are divided by a regular grid.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Change LAS Class Codes,Reassigns the classification codes and flags of LAS files.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Classify LAS Building,"Classifies building rooftops and sides in LAS
data.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Classify LAS By Height,Reclassifies lidar points based on their height from the ground surface.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Classify LAS Ground,Classifies ground points in aerial lidar data.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Classify LAS Noise,Classifies LAS points with anomalous spatial characteristics as noise.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Classify LAS Overlap,Classifies LAS points from overlapping scans of aerial lidar surveys.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Set LAS Class Codes Using Features,Classifies LAS points that intersect the two-dimensional extent of input features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Set LAS Class Codes Using Raster,Classifies LAS points using cell values from a raster dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
LAS Dataset To TIN,Exports a triangulated irregular network (TIN) from a  LAS dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
LAS To Multipoint,Creates multipoint features using one or more lidar files.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-las-dataset-toolset.htm#GUID-088B5F79-22FD-42D3-AC39-C2AE6BA06B91,LAS Dataset,"Contains toolsets and tools for converting and managing LAS files, and modifying the classification of LAS data.",3D Analyst toolbox
Conversion,The Conversion tool provide tools for converting rasters to different formats.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-raster-toolset.htm#GUID-7278F23C-7CEF-4FC1-B3CF-962B27E2A1BD,Raster,"Contains tools for converting raster surfaces and extracting their footprint alongside tools for reclassifying raster data, interpolating surfaces from point measurements, performing math operations using cell values, and generating surface derivatives such as slope, contour, aspect, and curvature.",3D Analyst toolbox
Interpolation,The Raster Interpolation tools create a continuous (or prediction) surface from sampled point values.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-raster-toolset.htm#GUID-7278F23C-7CEF-4FC1-B3CF-962B27E2A1BD,Raster,"Contains tools for converting raster surfaces and extracting their footprint alongside tools for reclassifying raster data, interpolating surfaces from point measurements, performing math operations using cell values, and generating surface derivatives such as slope, contour, aspect, and curvature.",3D Analyst toolbox
Math,The Raster Math tools perform mathematical operations on input rasters.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-raster-toolset.htm#GUID-7278F23C-7CEF-4FC1-B3CF-962B27E2A1BD,Raster,"Contains tools for converting raster surfaces and extracting their footprint alongside tools for reclassifying raster data, interpolating surfaces from point measurements, performing math operations using cell values, and generating surface derivatives such as slope, contour, aspect, and curvature.",3D Analyst toolbox
Reclass,The Raster Reclass tools provide a variety of methods that allow you to reclassify or change input cell values to alternative values.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-raster-toolset.htm#GUID-7278F23C-7CEF-4FC1-B3CF-962B27E2A1BD,Raster,"Contains tools for converting raster surfaces and extracting their footprint alongside tools for reclassifying raster data, interpolating surfaces from point measurements, performing math operations using cell values, and generating surface derivatives such as slope, contour, aspect, and curvature.",3D Analyst toolbox
Surface,"With the Raster Surface tools, you can quantify and visualize a terrain landform represented by a digital elevation model.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-raster-toolset.htm#GUID-7278F23C-7CEF-4FC1-B3CF-962B27E2A1BD,Raster,"Contains tools for converting raster surfaces and extracting their footprint alongside tools for reclassifying raster data, interpolating surfaces from point measurements, performing math operations using cell values, and generating surface derivatives such as slope, contour, aspect, and curvature.",3D Analyst toolbox
Add Surface Information,Attributes features with spatial information derived from a  surface.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-statistics-toolset.htm#GUID-7E9B50CF-27EB-4338-A92A-901DBFFB4D18,Statistics,"Contains tools for aggregating statistics about z-enabled data  from features, point clouds, raster, and triangulated surfaces.",3D Analyst toolbox
Add Z Information,Adds information about elevation properties of features in a Z-enabled feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-statistics-toolset.htm#GUID-7E9B50CF-27EB-4338-A92A-901DBFFB4D18,Statistics,"Contains tools for aggregating statistics about z-enabled data  from features, point clouds, raster, and triangulated surfaces.",3D Analyst toolbox
LAS Height Metrics,Calculates statistics about the distribution of elevation measurements of vegetation points captured in LAS data.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-statistics-toolset.htm#GUID-7E9B50CF-27EB-4338-A92A-901DBFFB4D18,Statistics,"Contains tools for aggregating statistics about z-enabled data  from features, point clouds, raster, and triangulated surfaces.",3D Analyst toolbox
LAS Point Statistics By Area,Evaluates the statistics of LAS points that overlay the area defined by polygon features.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-statistics-toolset.htm#GUID-7E9B50CF-27EB-4338-A92A-901DBFFB4D18,Statistics,"Contains tools for aggregating statistics about z-enabled data  from features, point clouds, raster, and triangulated surfaces.",3D Analyst toolbox
Point File Information,Generates statistical information about one or more point files in a polygon or multipatch output.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-statistics-toolset.htm#GUID-7E9B50CF-27EB-4338-A92A-901DBFFB4D18,Statistics,"Contains tools for aggregating statistics about z-enabled data  from features, point clouds, raster, and triangulated surfaces.",3D Analyst toolbox
NA,Adds one or more feature classes to a terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Adds one or more pyramid levels to an existing terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Appends points to a point  feature referenced by a terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Performs tasks required for analyzing and displaying a terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Changes the reference scale associated with a terrain pyramid level.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Changes the pyramid levels at which a feature class will be enforced for a given terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Creates a new terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Deletes points within a specified area of interest from one or more features that participate in a terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Removes reference to a feature class participating in a terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Removes a pyramid level from a terrain dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
NA,Replaces points referenced by a terrain dataset with points from a specified feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-terrain-dataset-toolset.htm#GUID-7CCCEC8B-D581-46F7-9F8F-E4A0B23EAC67,Terrain Dataset, Contains tools to create and manage terrain datasets.,3D Analyst toolbox
Copy TIN,Creates a copy of a triangulated irregular network (TIN) dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
Create TIN,Creates a triangulated irregular network (TIN) dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
Decimate TIN Nodes,Creates a triangulated irregular network (TIN) dataset using a subset of nodes from a source TIN.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
Delineate TIN Data Area,"Redefines the data area, or interpolation zone, of a triangulated irregular network (TIN) based on its triangle edge length.",/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
Edit TIN,Loads data from one or more input features  to modify the surface of an existing triangulated irregular network (TIN).,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
LandXML To TIN,This tool imports one or more triangulated irregular network (TIN) surfaces from a LandXML file to output Esri TINs.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
TIN Domain,Creates a line or polygon feature class representing the interpolation zone of a triangulated irregular network (TIN) dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
TIN Edge,Creates 3D line features using the triangle edges of a triangulated irregular network (TIN) dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
TIN Line,Exports breaklines from a triangulated irregular network (TIN) dataset to a 3D line feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
TIN Node,Exports the nodes of a triangulated irregular network (TIN) dataset to a point feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
TIN Polygon Tag,Creates polygon features using tag values in a triangulated irregular network (TIN) dataset.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
TIN to Raster,Interpolates a raster using z-values from the input TIN.,/en/pro-app/2.7/tool-reference/3d-analyst/an-overview-of-the-tin-dataset-toolset.htm#GUID-C9D43C89-9867-4DE5-9F32-96A48F0C48F2,TIN Dataset,"Contains tools for creating, modifying, and converting triangulated irregular network (TIN) datasets.",3D Analyst toolbox
