tool,description,href,toolbox,toolset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/layer-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",/en/pro-app/2.7/tool-reference/3d-analyst/ascii-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",/en/pro-app/2.7/tool-reference/3d-analyst/feature-class-z-to-ascii.htm,3D Analyst toolbox,3D Features
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,/en/pro-app/2.7/tool-reference/3d-analyst/feature-to-3d-by-attribute.htm,3D Analyst toolbox,3D Features
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,/en/pro-app/2.7/tool-reference/3d-analyst/features-from-cityengine-rules.htm,3D Analyst toolbox,3D Features
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,/en/pro-app/2.7/tool-reference/3d-analyst/import-3d-files.htm,3D Analyst toolbox,3D Features
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,/en/pro-app/2.7/tool-reference/3d-analyst/layer-3d-to-feature-class.htm,3D Analyst toolbox,3D Features
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,3D Intersections
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,3D Intersections
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,3D Intersections
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,3D Intersections
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,3D Intersections
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,3D Intersections
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,3D Proximity
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,3D Proximity
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,3D Proximity
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,3D Proximity
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,3D Proximity
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,3D Proximity
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,Area and Volume
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,Area and Volume
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,Area and Volume
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,Area and Volume
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,Area and Volume
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,Area and Volume
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,LAS Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,LAS Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,LAS Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,LAS Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,LAS Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,LAS Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,LAS Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,LAS Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,LAS Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,LAS Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,LAS Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,LAS Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,LAS Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,LAS Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,LAS Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,LAS Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,LAS Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,LAS Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,Raster
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,Raster
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,Raster
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,Raster
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,Raster
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,Raster
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,Statistics
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,Statistics
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,Statistics
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,Statistics
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,Statistics
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,Statistics
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,Terrain Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,Terrain Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,Terrain Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,Terrain Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,Terrain Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,Terrain Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,TIN Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,TIN Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,TIN Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,TIN Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,TIN Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,TIN Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,TIN Dataset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,TIN Dataset
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,TIN Dataset
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,TIN Dataset
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,TIN Dataset
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,TIN Dataset
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,Triangulated Surface
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,Triangulated Surface
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,Triangulated Surface
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,Triangulated Surface
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,Triangulated Surface
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,Triangulated Surface
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,3D Analyst toolbox,Visibility
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,3D Analyst toolbox,Visibility
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,3D Analyst toolbox,Visibility
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,3D Analyst toolbox,Visibility
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,3D Analyst toolbox,Visibility
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,3D Analyst toolbox,Visibility
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Analysis toolbox,Extract
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Analysis toolbox,Extract
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Analysis toolbox,Extract
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Analysis toolbox,Extract
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Analysis toolbox,Extract
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Analysis toolbox,Extract
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Analysis toolbox,Overlay
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Analysis toolbox,Overlay
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Analysis toolbox,Overlay
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Analysis toolbox,Overlay
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Analysis toolbox,Overlay
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Analysis toolbox,Overlay
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Analysis toolbox,Pairwise Overlay
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Analysis toolbox,Pairwise Overlay
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Analysis toolbox,Pairwise Overlay
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Analysis toolbox,Pairwise Overlay
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Analysis toolbox,Pairwise Overlay
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Analysis toolbox,Pairwise Overlay
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Analysis toolbox,Proximity
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Analysis toolbox,Proximity
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Analysis toolbox,Proximity
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Analysis toolbox,Proximity
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Analysis toolbox,Proximity
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Analysis toolbox,Proximity
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Analysis toolbox,Statistics
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Analysis toolbox,Statistics
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Analysis toolbox,Statistics
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Analysis toolbox,Statistics
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Analysis toolbox,Statistics
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Analysis toolbox,Statistics
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Aviation toolbox,Airports
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Aviation toolbox,Airports
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Aviation toolbox,Airports
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Aviation toolbox,Airports
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Aviation toolbox,Airports
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Aviation toolbox,Airports
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Aviation toolbox,Charting
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Aviation toolbox,Charting
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Aviation toolbox,Charting
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Aviation toolbox,Charting
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Aviation toolbox,Charting
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Aviation toolbox,Charting
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Modeling
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Modeling
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Modeling
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Modeling
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Modeling
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Modeling
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Reports
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Reports
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Reports
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Reports
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Reports
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Reports
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Statistical Data Collections
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Statistical Data Collections
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Statistical Data Collections
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Statistical Data Collections
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Statistical Data Collections
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Statistical Data Collections
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Suitability Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Suitability Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Suitability Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Suitability Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Suitability Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Suitability Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Target Marketing
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Target Marketing
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Target Marketing
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Target Marketing
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Target Marketing
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Target Marketing
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Business Analyst toolbox,Trade Areas
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Business Analyst toolbox,Trade Areas
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Business Analyst toolbox,Trade Areas
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Business Analyst toolbox,Trade Areas
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Business Analyst toolbox,Trade Areas
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Business Analyst toolbox,Trade Areas
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Cartography toolbox,Annotation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Cartography toolbox,Annotation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Cartography toolbox,Annotation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Cartography toolbox,Annotation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Cartography toolbox,Annotation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Cartography toolbox,Annotation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Cartography toolbox,Cartographic Refinement
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Cartography toolbox,Cartographic Refinement
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Cartography toolbox,Cartographic Refinement
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Cartography toolbox,Cartographic Refinement
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Cartography toolbox,Cartographic Refinement
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Cartography toolbox,Cartographic Refinement
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Cartography toolbox,Generalization
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Cartography toolbox,Generalization
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Cartography toolbox,Generalization
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Cartography toolbox,Generalization
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Cartography toolbox,Generalization
